lat,long
45.67909,5.46266
48.68584,6.18375
45.60264,-1.00386
48.65307,2.29082
47.21052,2.0606
48.91461,2.42397
48.84208,2.40675
47.1956,-1.54806
47.28216,4.22964
47.43405,-2.11982
48.71324,6.16102
46.67963,5.5578
45.73625,4.87118
48.13021,-1.62736
49.56338,3.61093
50.64168,2.3992
43.93272,3.70249
48.72705,1.38507
47.52546,6.78646
47.66933,-2.97907
48.71566,4.6009
50.94145,1.89613
49.20372,-0.35417
46.82225,3.4532
48.95032,2.1523
48.6201,2.45702
44.83607,-0.60517
44.90419,4.42145
48.52342,0.55201
44.85177,0.49
43.84287,1.52578
47.20816,-0.72527
46.72217,-2.35258
43.4209,5.03757
48.97178,4.37009
47.86342,-4.22119
49.48768,0.13637
43.68622,7.21194
45.04204,5.01999
48.87852,2.4146
45.14421,4.12673
43.61999,3.86398
50.39102,3.17482
42.72348,2.84692
44.38389,2.02937
45.74607,4.90074
48.92773,2.46506
48.93368,2.20393
46.83055,0.55733
45.74891,4.75215
45.03294,0.18468
48.42145,2.14953
45.26093,4.66944
44.04736,5.02845
43.44285,1.31222
49.38255,0.12934
48.87829,2.43106
49.5198,0.08688
48.56778,7.81168
48.56881,-1.09622
47.21008,-1.55813
48.96086,4.36482
43.32433,-0.3504
43.79942,4.66783
50.7226,1.62975
48.78581,5.16597
48.85269,2.5082
43.85747,0.65938
48.84297,2.40635
49.87189,2.29418
48.04361,7.1318
49.46449,1.11576
48.77122,2.3353
49.87267,2.25402
48.90639,6.05243
49.22536,6.01126
48.65148,1.8253
49.39805,1.06303
50.94077,1.89137
44.82766,-0.60727
43.35439,3.22784
43.12915,5.92065
43.62801,3.85397
46.65793,-1.41425
44.36013,2.55149
46.54609,-1.67354
48.11512,-1.64584
48.89198,2.1894
46.20072,-1.36638
47.96563,0.22598
48.82381,1.94723
48.62591,-2.00951
43.60041,1.43198
48.687,6.1933
49.15313,7.04824
48.823,2.39759
43.59276,3.08061
49.35094,1.08513
45.7791,3.07488
48.57574,7.74489
43.119,6.11251
49.0182,-0.63311
45.8617,4.83411
50.72848,2.53895
48.06388,-0.7833
45.78659,4.83552
45.03048,3.06672
48.79735,7.77776
48.8983,2.08465
48.83763,2.29289
49.15911,4.33832
49.25792,5.93313
50.38783,2.33605
46.53255,6.01738
45.74899,4.89875
48.35936,-1.19396
46.79805,4.85383
45.5388,5.66459
45.03383,3.08611
49.56848,0.47056
45.77198,4.86415
