"type","name","features__type","features__properties__number","features__properties__name","features__properties__address","features__properties__address2","features__properties__commune","features__properties__nmarrond","features__properties__bonus","features__properties__pole","features__properties__lat","features__properties__lng","features__properties__bike_stands","features__properties__status","features__properties__available_bike_stands","features__properties__available_bikes","features__properties__availabilitycode","features__properties__availability","features__properties__banking","features__properties__gid","features__properties__last_update","features__properties__last_update_fme","features__properties__code_insee","features__properties__langue","features__properties__etat","features__properties__nature","features__properties__titre","features__properties__description","features__properties__startdate","features__properties__enddate","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"","","Feature","7017","Beauvoir / Marot","26, Rue Simone de Beauvoir","","Lyon 7 ème","","","Lyon 7ème arrondissement","45.7367572482025800","4.8341384445028766","20","OPEN","7","13","1","Vert","false","1266","2020-12-12 18:19:44","2020-12-12 18:27:03","69387","","","","","","","","Point","4.834138444502877","45.736757248202579"
"","","Feature","7015","Techsud","Face 2, Rue Professeur Jean Bernard","angle du Boulevard Chambaud de la Bruyère","Lyon 7 ème","66","","","45.7227999997408900","4.8427060003576160","12","OPEN","10","2","1","Vert","false","1205","2020-12-12 18:23:43","2020-12-12 18:27:03","69387","","","","","","","","Point","4.842706000357616","45.722799999740893"
"","","Feature","8024","Mermoz / Michelet","66, Avenue Jean Mermoz","Angle Boulevard Edmond Michelet","Lyon 8 ème","24","","Cité des Entreprises, itinéraire cyclable","45.7332717801444000","4.8786008569623750","12","OPEN","10","2","1","Vert","false","810","2020-12-12 18:21:00","2020-12-12 18:27:03","69388","","","","","","","","Point","4.878600856962375","45.733271780144399"
"","","Feature","8038","Albert Thomas / Villon","64, Cours Albert Thomas","angle rue Villon","Lyon 8 ème","38","","bureaux, itinéraire cyclable","45.7467163314946900","4.8674286445260060","20","OPEN","19","0","3","Orange","false","759","2020-12-12 18:25:55","2020-12-12 18:27:03","69388","","","","","","","","Point","4.867428644526006","45.746716331494689"
"","","Feature","7056","Place Raspail",", Rrue Cavenne","","Lyon 7 ème","56","","Commerces, quartier, point nodal (Guillotière, 7e,","45.7557687140506700","4.8407327899664360","22","OPEN","19","3","1","Vert","true","770","2020-12-12 18:26:27","2020-12-12 18:27:03","69387","","","","","","","","Point","4.840732789966436","45.755768714050667"
"","","Feature","9014","Quai du Commerce","12, Quai du Commerce","entre la Rue Dupont et la Rue Bourget => centre","Lyon 9 ème","14","","itinéraires cyclables","45.7834856612731400","4.8114878428420670","23","CLOSED","0","0","0","Gris","true","1008","2020-12-12 00:30:09","2020-12-12 00:30:09","69389","","","","","","","","Point","4.811487842842067","45.78348566127314"
"","","Feature","3102","Docteur Long / Aubépins","2, Rue de la Caille","","Lyon 3 ème","102","","Maillage","45.7525394294912600","4.8942674717120900","16","OPEN","16","0","3","Orange","false","789","2020-12-12 18:25:38","2020-12-12 18:27:03","69383","","","","","","","","Point","4.89426747171209","45.752539429491257"
"","","Feature","16004","Vénissieux - Parilly","Place Jules Grandclément","","VENISSIEUX","","","Vénissieux","45.7197119647566300","4.8885353662634170","25","OPEN","8","17","1","Vert","true","1267","2020-12-12 18:19:15","2020-12-12 18:27:03","69259","","","","","","","","Point","4.888535366263417","45.719711964756627"
"","","Feature","10088","4 août 1789 / Pressensé","243, Cours Emile Zola","","VILLEURBANNE","88","","maillage","45.7660587436588950","4.8987031427962370","19","OPEN","4","15","1","Vert","true","975","2020-12-12 18:25:46","2020-12-12 18:27:03","69266","","","","","","","","Point","4.898703142796237","45.766058743658895"
"","","Feature","7020","Parc de Gerland","24, Allée Pierre de Coubertin","","Lyon 7 ème","20","","Parc de Gerland, Palais des Sports","45.7243483551230100","4.8268214305884180","26","OPEN","16","10","1","Vert","true","801","2020-12-12 18:22:28","2020-12-12 18:27:03","69387","","","","","","","","Point","4.826821430588418","45.724348355123013"
