stop_id,stop_name,stop_lat,stop_lon,location_type
1586,LOGE DU TREVE,45.49686226,4.584886046,0
1587,LOGE DU TREVE,45.49689644,4.584529111,0
1588,DURETAY,45.49720074,4.588636656,0
1589,DURETAY,45.49710744,4.58924713,0
1590,LA BOUTARIE,45.49731571,4.593645144,0
1591,LA BOUTARIE,45.4974058,4.59453185,0
1592,LA PRUDENCHE,45.49748161,4.600127463,0
1593,LA PRUDENCHE,45.49767996,4.60010999,0
2360,PLACE REPUBLIQUE,45.49981458,4.240363638,0
2361,PLACE REPUBLIQUE,45.49968098,4.240282258,0
2362,POYET,45.50284058,4.240224707,0
2363,POYET,45.5027513,4.240183241,0
2364,LES BARQUES,45.50180803,4.253254893,0
2365,LES BARQUES,45.50176767,4.253509434,0
2366,S. POLYVALENTE,45.50054611,4.247593375,0
2367,S.POLYVALENTE,45.50041296,4.247486399,0
1594,CTRE FOUILLOUSE,45.50205423,4.315560272,0
1595,CTRE FOUILLOUSE,45.50207086,4.315637651,0
1596,PL. DES TILLEULS,45.50100664,4.317800652,0
1597,PL. DES TILLEULS,45.50090522,4.317937785,0
1599,RUE DES ECOLES,45.50164049,4.434958887,0
1600,RUE DES ECOLES,45.50133198,4.434614435,0
1601,LES GENETS,45.49913103,4.450169079,0
1602,LES GENETS,45.49928706,4.45000868,0
1603,TREMOLLET BAS,45.49939055,4.515855467,0
1604,TREMOLLET,45.50007083,4.520195131,0
1605,HAM. DES CHENES,45.50159524,4.552941937,0
1606,HAM. DES CHENES,45.50166529,4.552586394,0
1607,COMBERIGOL,45.50322687,4.550537228,0
1608,COMBERIGOL,45.50346562,4.550751571,0
1609,PUITS ST-ANTOINE,45.49973429,4.559637381,0
1610,PUITS ST-ANTOINE,45.5006278,4.560415606,0
1611,POSTE GD CROIX,45.50045002,4.566628306,0
1612,POSTE GD CROIX,45.50047496,4.566731696,0
1613,RUE DES ROSES,45.50209725,4.579659623,0
1614,RUE DES ROSES,45.5022938,4.579731593,0
1615,RUE DU STADE,45.50638248,4.576006496,0
2368,PLACE GAPIAND,45.50758721,4.26361722,0
2369,PLACE GAPIAND,45.5078818,4.263755475,0
2370,LE PONT,45.50370988,4.260410647,0
2371,LE PONT,45.50367016,4.260626822,0
1616,JEAN FAURE,45.50688982,4.307747177,0
1617,JEAN FAURE,45.50678548,4.308050618,0
1618,LA CHARMERAIE,45.50504659,4.311226493,0
1619,LA CHARMERAIE,45.50476508,4.311370012,0
1620,GRAND QUARTIER,45.50334136,4.435919329,0
1623,GRAND QUARTIER,45.50334651,4.436124295,0
1621,EGLISE GD.QUARTI,45.50603226,4.433999332,0
1622,EGLISE GD.QUARTI,45.50626189,4.43375207,0
1624,TRUZEAU,45.50468423,4.510215142,0
1625,LA BRUYASSIERE,45.50601024,4.515143752,0
1626,LE CHAPOTEE,45.50621904,4.545319777,0
1628,LE CHAPOTEE,45.50608314,4.545365542,0
1627,GROS BUISSON,45.50810333,4.545151888,0
1657,GROS BUISSON,45.50803215,4.545110644,0
